,Cell type,X location,Y location,Z location
629,Pyr in SP layer,352,808,290
630,Pyr in SP layer,232,384,314
631,Pyr in SP layer,168,24,314
632,Pyr in SP layer,128,64,322
633,Pyr in SP layer,112,632,306
634,Pyr in SP layer,232,448,322
635,Pyr in SP layer,128,336,306
636,Pyr in SP layer,16,976,306
637,Pyr in SP layer,400,0,298
638,Pyr in SP layer,200,544,306
639,Pyr in SP layer,360,40,314
640,Pyr in SP layer,344,728,290
641,Pyr in SP layer,216,584,322
642,Pyr in SP layer,232,664,322
643,Pyr in SP layer,56,136,314
644,Pyr in SP layer,8,232,306
645,Pyr in SP layer,328,336,322
646,Pyr in SP layer,280,584,314
647,Pyr in SP layer,104,520,314
648,Pyr in SP layer,56,696,290
649,Pyr in SP layer,64,360,314
650,Pyr in SP layer,16,528,290
651,Pyr in SP layer,72,296,298
652,Pyr in SP layer,312,368,314
653,Pyr in SP layer,48,576,322
654,Pyr in SP layer,40,776,306
655,Pyr in SP layer,184,768,306
656,Pyr in SP layer,72,528,290
657,Pyr in SP layer,336,808,298
658,Pyr in SP layer,336,680,306
659,Pyr in SP layer,8,888,322
660,Pyr in SP layer,376,848,298
661,Pyr in SP layer,112,448,290
662,Pyr in SP layer,296,8,306
663,Pyr in SP layer,216,0,322
664,Pyr in SP layer,216,96,290
665,Pyr in SP layer,344,936,314
666,Pyr in SP layer,80,424,298
667,Pyr in SP layer,16,456,306
668,Pyr in SP layer,128,88,298
669,Pyr in SP layer,176,504,322
670,Pyr in SP layer,240,392,290
671,Pyr in SP layer,104,872,322
672,Pyr in SP layer,216,32,314
673,Pyr in SP layer,168,152,306
674,Pyr in SP layer,264,712,298
675,Pyr in SP layer,120,400,322
676,Pyr in SP layer,152,736,314
677,Pyr in SP layer,64,520,322
678,Pyr in SP layer,168,144,298
679,Pyr in SP layer,184,192,322
680,Pyr in SP layer,40,160,322
681,Pyr in SP layer,144,512,314
682,Pyr in SP layer,224,680,290
683,Pyr in SP layer,232,104,298
684,Pyr in SP layer,128,496,314
685,Pyr in SP layer,384,576,322
686,Pyr in SP layer,368,0,290
687,Pyr in SP layer,256,0,306
688,Pyr in SP layer,32,616,290
689,Pyr in SP layer,80,456,290
690,Pyr in SP layer,104,424,290
691,Pyr in SP layer,96,552,322
692,Pyr in SP layer,184,744,306
693,Pyr in SP layer,336,840,298
694,Pyr in SP layer,392,72,290
695,Pyr in SP layer,120,680,314
696,Pyr in SP layer,264,304,306
697,Pyr in SP layer,256,520,314
698,Pyr in SP layer,320,16,322
699,Pyr in SP layer,224,288,298
700,Pyr in SP layer,368,784,322
701,Pyr in SP layer,280,288,322
702,Pyr in SP layer,328,736,298
703,Pyr in SP layer,264,280,298
704,Pyr in SP layer,264,312,314
705,Pyr in SP layer,152,688,298
706,Pyr in SP layer,320,640,322
707,Pyr in SP layer,272,288,290
708,Pyr in SP layer,400,776,314
709,Pyr in SP layer,72,256,298
710,Pyr in SP layer,48,952,306
711,Pyr in SP layer,152,704,290
712,Pyr in SP layer,176,816,298
713,Pyr in SP layer,224,608,314
714,Pyr in SP layer,344,176,290
715,Pyr in SP layer,144,992,306
716,Pyr in SP layer,232,0,298
717,Pyr in SP layer,320,408,306
718,Pyr in SP layer,96,88,290
719,Pyr in SP layer,344,808,290
720,Pyr in SP layer,104,272,290
721,Pyr in SP layer,40,920,306
722,Pyr in SP layer,136,408,306
723,Pyr in SP layer,328,328,298
724,Pyr in SP layer,40,968,290
725,Pyr in SP layer,344,32,290
726,Pyr in SP layer,32,528,306
727,Pyr in SP layer,72,424,298
728,Pyr in SP layer,248,440,314
729,Pyr in SP layer,32,40,290
730,Pyr in SP layer,128,608,322
731,Pyr in SP layer,216,360,306
732,Pyr in SP layer,136,504,298
733,Pyr in SP layer,240,976,298
734,Pyr in SP layer,56,840,314
735,Pyr in SP layer,384,384,298
736,Pyr in SP layer,112,664,306
737,Pyr in SP layer,96,184,306
738,Pyr in SP layer,40,752,298
739,Pyr in SP layer,8,64,322
740,Pyr in SP layer,56,672,322
741,Pyr in SP layer,184,448,290
742,Pyr in SP layer,392,608,314
743,Pyr in SP layer,264,0,290
744,Pyr in SP layer,112,448,298
745,Pyr in SP layer,320,712,290
746,Pyr in SP layer,112,24,298
747,Pyr in SP layer,152,840,290
748,Pyr in SP layer,96,912,298
749,Pyr in SP layer,240,88,298
750,Pyr in SP layer,88,224,290
751,Pyr in SP layer,400,736,290
752,Pyr in SP layer,360,424,322
753,Pyr in SP layer,296,416,314
754,Pyr in SP layer,160,624,298
755,Pyr in SP layer,200,136,306
756,Pyr in SP layer,368,648,290
757,Pyr in SP layer,128,936,290
758,Pyr in SP layer,48,648,306
759,Pyr in SP layer,56,952,322
760,Pyr in SP layer,200,392,314
761,Pyr in SP layer,128,784,314
762,Pyr in SP layer,184,792,290
763,Pyr in SP layer,216,832,306
764,Pyr in SP layer,32,512,290
765,Pyr in SP layer,208,320,314
766,Pyr in SP layer,384,384,322
767,Pyr in SP layer,136,480,314
768,Pyr in SP layer,48,512,290
769,Pyr in SP layer,376,408,290
770,Pyr in SP layer,80,0,314
771,Pyr in SP layer,344,832,314
772,Pyr in SP layer,400,336,290
773,Pyr in SP layer,144,312,306
774,Pyr in SP layer,128,592,298
775,Pyr in SP layer,400,848,306
